id,Company_name,Drug_company,Drug_name,Quantity
37,Twimbo,Major Pharmaceuticals,Guaifenesin,83
38,Reallinks,Bryant Ranch Prepack,Amitriptyline Hydrochloride,56
39,Roodel,Sandoz Inc,Methocarbamol,52
40,Flipbug,REMEDYREPACK INC.,Zithromax,43
41,Npath,"Preferred Pharmaceuticals, Inc.",Hydrocodone Bitartate and Acetaminophen,9
42,Rhynyx,"Jiangsu Province JianErKang Medical Dressing Co. ,Ltd.",Sting Relief Pads,52
43,Latz,Mylan Pharmaceuticals Inc.,Oxycodone Hydrochloride,82
44,Meetz,Rebel Distributors Corp,Fluoxetine,57
45,Flashdog,"Watson Pharma, Inc.",Metoprolol Succinate,78
46,Trupe,"Blue Cross Laboratories, Inc.",Marvel The Avengers Hand Sanitizer,60
47,Buzzbean,Hyland's,NAT. PHOS.,56
48,Ailane,Energizer Personal Care LLC,HAWAIIAN Tropic,12
49,Oyoloo,Milk & Co Pty Ltd,Face Moisturiser,4
50,Twiyo,Every man jack,Antiperspirant Cedarwood,95
51,Rhynoodle,Northstar RxLLC,Metoclopramide Hydrochloride,12
52,Brightbean,Boots Retail USA Inc,No7 Protect and Perfect Day Cream Sunscreen SPF 15,79
53,Devpoint,Major Pharmaceuticals,Carvedilol,94
54,JumpXS,"Medecor Pharma, LLC",TRICARE PRENATAL,1
55,Digitube,"Nelco Laboratories, Inc.",Spearmint,9
56,Thoughtbeat,B. Braun Medical Inc.,NephrAmine,96
57,Rhybox,"Boehringer Ingelheim Pharmaceuticals, Inc.",Micardis HCT,45
58,Yodoo,"Eagle Distributors,Inc.",ConRx Extra Strength,97
59,Livepath,Walgreens,Stool Softener,47
60,Ailane,AbbVie Inc.,Gengraf,14
61,Pixope,REMEDYREPACK INC.,ZOLPIDEM TARTRATE,14
62,Devpulse,Unit Dose Services,Baclofen,15
63,Yotz,"Nelco Laboratories, Inc.",Mango Blossom,14
64,Fivespan,American Health Packaging,Lorazepam,39
65,Meevee,"Astellas Pharma Technologies, Inc.",VESIcare,49
66,Mydo,Chain Drug Marketing Association Inc.,Childrens Ibuprofen,39
67,Twitterlist,Jafra Cosmetics,Skin Balancing Makeup Broad Spectrum SPF 20,55
68,Midel,Valeant Pharmaceuticals North America LLC,CeraVe,84
69,Quatz,Reckitt Benckiser LLC,Cepacol,99
70,Devcast,"Antigen Laboratories, Inc.",Treatment Set TS340826,20
71,Latz,REMEDYREPACK INC.,BENZTROPINE MESYLATE,39
72,Wikibox,Aurobindo Pharma Limited,Amoxicillin and Clavulanate Potassium,2
73,Quinu,Teva Pharmaceuticals USA Inc,Clozapine,80
74,Skyvu,Sam's West Inc,Low Dose Adult Aspirin,43
75,Tazzy,"Paddock Laboratories, LLC",Milk of Magnesia,65
76,Wordtune,CHANEL PARFUMS BEAUTE,VITALUMIERE AQUA,22
77,Chatterpoint,Midlothian Laboratories,LORCET HD,35
78,Babbleset,Apotheca Company,Extreme HCG,20
79,Gigaclub,"Avon Products, Inc",Avon Sun,46
80,Tagfeed,Wockhardt USA LLC.,Entacapone,32
81,Voonix,"ALK-Abello, Inc.",POPULUS DELTOIDES POLLEN,27
82,Eare,Contract Pharmacy Services-PA,Trazodone Hydrochloride,25
83,Quatz,Tri-Coastal Design Company Inc.,Waterless Anti-Bacterial Hand Cleanser,39
84,Twitterwire,Cardinal Health,Clonazepam,71
85,Jetwire,St. Marys Medical Park Pharmacy,Metaxalone,29
86,Divavu,NeoStrata Company Inc.,NeoStrata Skin Active Matrix Support,47
87,Eabox,American Health Packaging,Quetiapine fumarate,35
88,Jabbersphere,AR Medicom Inc,DentiCare Pro-Foam,70
89,Flipopia,Rite Aid,Hydrogen Peroxide,68
90,Jatri,Hyland's,ARNICA MONTANA,100
91,Gigazoom,Cardinal Health,Leader Medicated Wipes,79
92,Fanoodle,"NATURE REPUBLIC CO., LTD.",BEEVENOM PACT,43
93,Dablist,Aidarex Pharmaceuticals LLC,Carisoprodol,6
94,Eare,Bausch & Lomb Incorporated,Atropine Sulfate,78
95,Vimbo,"Ferndale Laboratories, Inc.",Analpram Advanced,85
96,Browsebug,Procter & Gamble Manufacturing Company,Dawn,12
97,Youfeed,"American Regent, Inc.",Indigo Carmine,59
98,Feedfish,Ranbaxy Pharmaceuticals Inc.,Gabapentin,63
99,Rhybox,Energizer Personal Care LLC,HAWAIIAN Tropic,32
100,Meemm,ReadyMeds,Levofloxacin,71
101,Vipe,SUPERVALU INC.,Ibuprofen,18
102,Voonix,"PD-Rx Pharmaceuticals, Inc.",Levothyroxine Sodium,31
103,Skyndu,"KVK-Tech, Inc.",Phentermine Hydrochloride,40
104,Gevee,"Aphena Pharma Solutions - Tennessee, LLC",Clonazepam,43
105,Yabox,"HANLIM PHARM. CO., LTD.",GOODSENSE LUBRICANT EYE DROPS,23
106,Tanoodle,Bryant Ranch Prepack,AcipHex,35
107,Skynoodle,Ohm Laboratories Inc.,Ohm 8 Hour Pain Reliever/Fever Reducer,61
108,Meedoo,REMEDYREPACK INC.,Metoprolol Tartrate,55
109,Trilia,"Physicians Total Care, Inc.",Moexipril Hydrochloride,15
110,Jabbersphere,Teva Pharmaceuticals USA Inc,Prazosin Hydrochloride,5
111,Mybuzz,"Preferred Pharmaceuticals, Inc",Lovastatin,11
112,Twitterlist,"Aphena Pharma Solutions - Tennessee, Inc.",Allopurinol,43
113,Viva,"SOMA Biotechnology Co., Ltd",SOMA Anti-Cancergen,15
114,Tazz,Cardinal Health,Geodon,76
115,Podcat,Novartis Pharmaceutical Corporation,GenTeal,7
116,Quaxo,Teva Pharmaceuticals USA Inc,Fluocinonide,10
117,Rhyloo,Apotex Corp,Lamotrigine,79
118,Photospace,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,Nortriptyline Hydrochloride,34
119,Tagchat,Good Neighbor Pharmacy,Cough Relief Grape,15
120,Twitterbridge,"Allergy Laboratories, Inc.",EPIDERMOPHYTON FLOCCOSUM,99
121,Realcube,"Nelco Laboratories, Inc.",Couch Quack Grass,86
122,Photofeed,Greenstone LLC,Torsemide,80
123,Bubblebox,"Preferred Pharmaceuticals, Inc.",Nitrofurantoin Monohydrate/ Macrocrystalline,79
124,Trudeo,Sandoz Inc,Omnitrope,67
125,Browseblab,Qualitest Pharmaceuticals,Perphenazine,27
126,Mita,"SHISEIDO CO., LTD.",CLE DE PEAU BEAUTE SILKY FOUNDATION I,5
127,Wordpedia,Sunovion Pharmaceuticals Inc.,Xopenex,74
128,Twimbo,The Mentholatum Company,Mentholatum Natural Ice,97
129,Skalith,"Nostrum Laboratories, Inc.",Theophylline,58
130,Jaxbean,"Natural Creations, Inc.",VERMA HP,81
131,Thoughtstorm,"AMI Cosmetic Co.,Ltd.",Gold Caviar Cover Cushion,59
132,Thoughtbeat,PHARMAZEUTISCHE FABRIK DR. RECKEWEG & CO,DR. RECKEWEG R35 Chadontin,38
133,Quinu,"General Injectables & Vaccines, Inc",Robinul,4
134,Oloo,"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",Nighttime Sleep-Aid,41
135,Mycat,Paramesh Banerji Life Sciences LLC,Sponcer 40 (Number 33),70
136,Dynabox,BD Rx Inc.,Diphenhydramine Hydrochloride,41
137,Lazzy,REMEDYREPACK INC.,DOXEPIN HYDROCHLORIDE,75
138,Kayveo,Pure Source Inc.,ocean elements sheer daily moisture broad spectrum SPF 30,18
139,Skiptube,"Golden State Medical Supply, Inc.",HYDROXYZINE PAMOATE,5
140,Chatterbridge,"PACK Pharmaceuticals, LLC",Theophylline(Anhydrous),28
141,Rhyloo,Rebel Distributors Corp,Flector,98
142,Centimia,Dr.Reddy's Laboratories Ltd,Zoledronic Acid,34
143,Oyope,"Eon Labs, Inc.",lisinopril,13
144,Kazio,Sanofi-Aventis U.S. LLC,Lasix,97
145,Brainlounge,CVS Pharmacy,nasal decongestant pe,82
146,Topiczoom,Lake Erie Medical DBA Quality Care Products LLC,OxyContin,15
147,Shuffletag,Oral-B Laboratories,Oral-B Neutra-Foam Mint,33
148,Photobean,HYVEE INC.,HYVEE,5
149,Yakijo,Cardinal Health,Protamine Sulfate,61
150,Aimbo,"Unichem Pharmaceuticals (USA), Inc.",Amlodipine Besylate,55
151,Chatterpoint,AMERICAN SALES COMPANY,HAND SANITIZER,63
152,Zoomlounge,Pfizer Consumer Healthcare,ADVIL,54
153,Photobug,A-S Medication Solutions LLC,REYATAZ,37
154,Eazzy,REMEDYREPACK INC.,Dicyclomine Hydrochloride,76
155,Youopia,CVS,CAMPHOR (SYNTHETIC) and PHENOL,100
156,Centidel,West-ward Pharmaceutical Corp.,Meperidine Hydrochloride,11
157,Zava,Barr Laboratories Inc.,Galantamine,89
158,Wikibox,AuroMedics Pharma LLC,Ampicillin and Sulbactam,52
159,Twimm,"AMI Cosmetic Co.,Ltd.",Ultra Nutrition Toner,92
160,Zoomdog,Meijer Distribution Inc,eye itch relief,63
161,Twimbo,"Teva Parenteral Medicines, Inc.",Zanosar,24
162,Viva,RedPharm Drug Inc.,Avelox,90
163,Aibox,"Sato Pharmaceutical Co., Ltd.",Satohap,24
164,Realmix,Boots Retail USA Inc,No7 Protect and Perfect Foundation Sunscreen Broad Spectrum SPF 15 Deeply Honey,2
165,Chatterpoint,"TAYLOR JAMES, LTD.",Sunscreen Mist Broad Spectrum SPF 30,31
166,Photobean,REMEDYREPACK INC.,Terazosin Hydrochloride,22
167,Buzzshare,GlaxoSmithKline LLC,WELLBUTRIN,88
168,Livefish,"New World Imports, Inc",Sennosides,55
169,Rhyloo,"Allermed Laboratories, Inc.",Australian Pine Pollen,73
170,Cogibox,"Golden State Medical Supply, Inc.",Methscopolamine,38
171,Browsetype,Sagent Pharmaceuticals,Ceftazidime,2
172,Jazzy,"GOJO Industries, Inc.",TRICLOSAN,78
173,Eare,Procter & Gamble Manufacturing Company,Secret Natural Mineral,7
174,Tagfeed,CVS PHARMACY,KIDS EAR RELIEF,39
175,Bluejam,"Physicians Total Care, Inc.",Lyrica,31
176,Yodo,"Libertas Pharma, Inc.",Hydrocodone Bitartrate and Acetaminophen,56
177,Zoomcast,Costco Wholesale Company,Kirkland Signature Non Aspirin,56
178,Browseblab,"Publix Super Markets, Inc",Dandruff,67
179,Rhyloo,"Otsuka America Pharmaceutical, Inc.",ABILIFY,90
180,Oodoo,Mylan Institutional Inc.,Pioglitazone,30
181,Gevee,Ventura Corporation LTD,LBEL NATURAL FINISH MOISTURIZING FOUNDATION SPF 25,35
182,Agivu,The Medicines Company,Midazolam,33
183,Youopia,W STERNOFF LLC,Bodyglide For Her,58
184,Twitternation,Laboratoires Clarins S.A.,CLARINS Skin Illusion SPF 10 Natural Radiance Foundation Tint 116.5,73
185,Tazzy,"SJ Creations, Inc.",Lavender Antibacterial Foaming Hand Wash,74
186,Fliptune,Walgreen Company,Cough,52
187,Jetpulse,Durata Therapeutics Inc.,DALVANCE,63
188,Roodel,Carilion Materials Management,"Dibasic Sodium Phosphate, Monobasic Potassium Phosphate and Monobasic Sodium Phosphate",18
189,InnoZ,Atlantic Biologicals Corps,Loperamide Hydrochloride,80
190,Ntags,Reckitt Benckiser LLC,Clearasil Ultra,50
191,Quinu,"Roxane Laboratories, Inc.",Famciclovir,59
192,Brightbean,"Antigen Laboratories, Inc.",Franseria Mixture,25
193,Skiptube,Lee Pharmaceuticals,Saline Nasal,77
194,Skippad,Novartis Pharmaceuticals Corporation,Trileptal,42
195,Zoonder,REMEDYREPACK INC.,Ibuprofen,61
196,Feedmix,"Glenmark Generics Inc., USA",Zonisamide,60
197,Wikizz,"Akorn, Inc.",FUL-GLO,93
198,Mita,REMEDYREPACK INC.,Atenolol,97
199,Vidoo,"DOLGENCORP, LLC",Aspirin 81 mg,3
200,Feedfish,American Health Packaging,Arthritis Pain Reliever,20
201,Voonix,Qualitest Pharmaceuticals,Perphenazine,82
202,JumpXS,L Perrigo Company,good sense cold and allergy,93
203,Thoughtmix,"Liddell Laboratories, Inc.",Allergy,14
204,Meetz,HyVee Inc,daytime nighttime,78
205,Jaxworks,West-Ward Pharmaceutical Corp,Sertraline,4
206,Kamba,NeoStrata Company Inc.,NeoStrata Sheer Hydration,52
207,Riffpath,HOMEOLAB USA INC.,DULCAMARA,27
208,Yamia,"PD-Rx Pharmaceuticals, Inc.",Nitrofurantion Macrocrystals,69
209,Vidoo,Wise Consumer Products,Frankincense and Myrrh Cold and Flu Prevention,57
210,Geba,Bayer HealthCare Pharmaceuticals Inc.,Xofigo,76
211,Centimia,HOMEOLAB USA INC,MAGNESIA PHOSPHORICA,95
212,Wikizz,North Safety Products,HYDROCORTISONE,13
213,Oloo,"Mallinckrodt, Inc.",HYDROCODONE BITARTRATE AND ACETAMINOPHEN,41
214,Meejo,Blistex Inc,Silk and Shine,91
215,Vinder,The Procter & Gamble Manufacturing Company,Vicks Sinex,30
216,Brainlounge,"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",Extra Strength Pain Relief,68
217,Buzzdog,"Preferred Pharmaceuticals, Inc.",Carisoprodol,84
218,Twitternation,St Marys Medical Park Pharmacy,DIGOX,3
219,Gabcube,Apotheca Company,Rehydrate,90
220,Devpoint,"GRISI Hnos, S.A DE C.V",Sulfur,7
221,Dazzlesphere,Rebel Distributors Corp,good sense ibuprofen,73
222,Bluejam,"Deseret Biologicals, Inc.",hA2cg Evolution,7
223,Babbleset,McKesson,Earwax Removal Kit,43
224,Meevee,Laboratoires Clarins S.A.,CLARINS Skin Illusion SPF 10 Natural Radiance Foundation Tint 103,72
225,Tagfeed,NeoStrata Company Inc.,Exuviance CoverBlend Concealing Treatment Makeup,15
226,Jazzy,Sandoz Inc,Pramipexole Dihydrochloride,20
227,Cogidoo,"PD-Rx Pharmaceuticals, Inc.",Effexor,80
228,Rhyzio,Teva Pharmaceuticals USA Inc,Simvastatin,18
229,Trupe,Hannaford Brothers Company,Ibuprofen,36
230,Centimia,State of Florida DOH Central Pharmacy,Synthroid,11
231,Meezzy,"Avon Products, Inc.",Anew Clinical,7
232,Leexo,REMEDYREPACK INC.,Carbidopa and Levodopa,33
233,Lajo,"American Regent, Inc.",Nicardipine Hydrochloride,62
234,Tavu,"BioActive Nutritional, Inc.",Androbalance,47
235,Topiczoom,Hannaford Brothers Company,pain reliever,57
236,Topicstorm,"Antigen Laboratories, Inc.",Trichophyton Mixture,46
237,Janyx,Walgreen Co,Magnesium Citrate,10
238,Skinix,"Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",Aveeno Active Naturals Clear Complexion BB,43
239,Bubblebox,REMEDYREPACK INC.,CHLORPROMAZINE HYDROCHLORIDE,98
240,Eazzy,Washington Homeopathic Products,Hamamelis Virginiana Kit Refill,55
241,Plambee,RedPharm Drug Inc.,Carvedilol,66
242,Gabcube,"Paddock Laboratories, LLC",Neomycin and Polymyxin B Sulfates and Dexamethasone,74
243,Bubblebox,"McNeil Consumer Healthcare Div. McNeil-PPC, Inc",Childrens TYLENOL,70
244,Edgeify,Access Business Group International LLC,QuickFlex,29
245,Meeveo,GIOVANNI COSMETICS INC,Refresh Sanitizing Towlette,95
246,Skidoo,Cook Children's Home Health,Oxygen,59
247,Voolith,"Fresenius Kabi USA, LLC",Potassium Phosphates,48
248,Brightbean,"SMASHBOX BEAUTY COSMETICS, INC",SMASHBOX,99
249,Zoomzone,Valeant Pharmaceuticals North America LLC,Phrenilin Forte,35
250,Roodel,"Fera Pharmaceuticals, LLC",ILOTYCIN,14
251,Blogpad,Amedra Pharmaceuticals LLC,Adrenaclick,36
252,Babbleblab,"Antigen Laboratories, Inc.",Chaetomium,18
253,Skyndu,Unit Dose Services,Bupropion hydrochloride,17
254,Linklinks,American Health Packaging,Diltiazem Hydrochloride,33
255,Edgewire,BELVEDERE INTERNATIONAL INC.,One Step Hand Sanitizer Aloe,41
256,LiveZ,CVS PHARMACY,INSTANT HAND SANITIZER,94
257,Vipe,Teva Pharmaceuticals USA Inc,Ketorolac Tromethamine,41
258,Skyndu,Kmart Corporation,Smart Sense Triple Antibiotic,94
259,Buzzbean,"Aphena Pharma Solutions - Tennessee, Inc.",Synthroid,82
260,Twimm,Actavis Elizabeth LLC,Oxymorphone hydrochloride,17
261,Wordpedia,Rite Aid Corporation,Rite Aid,26
262,Thoughtsphere,Boots Retail USA Inc,No7 Protect and Perfect Day Cream Sunscreen SPF 15,57
263,Brightbean,"Akorn, Inc.",Sulfacetamide Sodium,32
264,Youopia,Cardinal Health,Myambutol,27
265,Zava,"PD-Rx Pharmaceuticals, Inc.",Omeprazole,72
266,Mynte,"Chattem, Inc.",ACT Restoring Anticavity Fluoride Cool Mint,15
267,Twitterbridge,Sandoz Inc,Promethazine Hydrochloride,10
268,Skynoodle,Sandoz Inc.,KLOR-CON,31
269,Photobug,Shionogi Inc.,FORTAMET,2
270,Feednation,"Alcon Laboratories, Inc.",Tears Naturale Free,15
271,Pixonyx,"Volume Distributors, Inc.",Bebelle for Kids Antibacterial Hand,47
272,Shufflester,King Bio Inc,Allergy and Hay Fever Reliever,92
273,Babbleset,"Dolgencorp, Inc. (DOLLAR GENERAL & REXALL)",Stool Softener,10
274,Bluezoom,Mylan Institutional LLC,Famotidine,57
275,Zoomzone,Novartis Pharmaceuticals Corporation,Lotensin,46
276,Fiveclub,State of Florida DOH Central Pharmacy,METFORMIN HYDROCHLORIDE,55
277,Divanoodle,Major Pharmaceuticals,Cetirizine Hydrochloride,25
278,Meembee,"Newton Laboratories, Inc.",Female Fibroids,15
279,Cogilith,SUPERVALU INC.,Loratadine,74
280,Photospace,McKesson Packaging Services Business Unit of McKesson Corporation,Clonazepam,7
281,Geba,Premier Brands of America Inc.,Salicylic acid,12
282,Wikido,"Antigen Laboratories, Inc.",Beef,76
283,Voonix,"NCS HealthCare of KY, Inc dba Vangard Labs",Pravastatin,10
284,Rooxo,WALGREEN CO.,Multi-Symptom Allergy,2
285,Meejo,NorthStar RxLLC,Fluoxetine,30
286,Podcat,"GM Pharmaceuticals, Inc.",VANATAB DX,69
287,Linkbuzz,"Deseret Biologicals, Inc.",EMF Protect and Balance,36
288,Voomm,REMEDYREPACK INC.,Buspirone Hydrochloride,85
289,Zoovu,Safeway,Aspirin Free Pain Relief,55
290,Wordware,"H2-Pharma, LLC",Fenofibrate,45
291,InnoZ,"Global Pharmaceuticals, Division of Impax Laboratories Inc.",ALPRAZOLAM,9
292,Yabox,AbbVie Inc.,Synthroid,91
293,Twiyo,"Greenbrier International, Inc.",Assured Instant Hand Sanitizer,45
294,Gigashots,"Amneal Pharmaceuticals of New York, LLC",Tramadol Hydrochloride and Acetaminophen,3
295,Brainbox,Guthy-Renker LLC,Proactiv,7
296,Mynte,"Safecor Health, LLC",Magnesium Oxide,84
297,Skivee,"Babor Cosmetics America, Corp",PURE SELECT Purifying Anti-Aging,5
298,Fivespan,PharmaDerm a division of Fougera Pharmaceuticals Inc.,TEMOVATE E,3
299,Skipfire,Jubilant HollisterStier LLC,"Food - Plant Source, Potato, White Solanum tuberosum",23
300,Oyoba,Contract Pharmacal Corp,Pseudoephedrine Plus,81
301,Kwimbee,"NCS HealthCare of KY, Inc dba Vangard Labs",Tizanidine,37
302,Topiczoom,BrandStorm HBC,Natrum Muriaticum,77
303,Feedspan,CVS PHARMACY,BABY TINY COLD,19
304,Eidel,Jubilant HollisterStier LLC,"Standardized Grass Pollen, Bluegrass, Kentucky (June)",23
305,Bluejam,Kroger Company,Triple Antibiotic Plus Pain Relief,25
306,Gabvine,"Physicians Total Care, Inc.",ARIMIDEX,60
307,Cogidoo,Reckitt Benckiser LLC,Clearasil Ultra,98
308,JumpXS,Meijer Distribution Inc,Acid Reducer,90
309,Bluejam,"Wyeth BioPharma Division of Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc.",BeneFIX,11
310,Oyope,Teva Pharmaceuticals USA,Pioglitazone and Metformin Hydrocholride,45
311,Katz,Uriel Pharmacy Inc.,Betula Spiraea,69
312,Yadel,AMERICAN SALES COMPANY,CARE ONE,92
313,Innotype,"Lotus Brands, Inc.",EcoDent Ultimate Essential Mouthcare,10
314,Fadeo,Laboratoire Sintyl SA,Chrono Repair Solaire,42
315,Flipbug,Capricorn Pharma Inc.,Expectorant plus Cough Relief,92
316,Tazzy,A-S Medication Solutions LLC,Diazepam,73
317,DabZ,"Nelco Laboratories, Inc.",White Mulberry,36
318,Realblab,"Dasan E&T Co., Ltd.",Atorak Ampoule,55
319,Flashspan,Bare Escentuals Beauty Inc.,BareMinerals Faux Tan,83
320,Divanoodle,American Health Packaging,NALTREXONE HYDROCHLORIDE,96
321,Zoomzone,"Native Remedies, LLC",Be-Dry,76
322,Photobug,Jubilant HollisterStier LLC,"Pollens - Weeds and Garden Plants, Ragweed. Western Ambrosia psilostachya",49
323,Rhynyx,L Perrigo Company,good sense miconazole 7,80
324,Teklist,B. Braun Medical Inc.,Sterile Water,56
325,Dazzlesphere,Publix Super Markets Inc,nasal decongestant pe,96
326,Feedspan,"Lupin Pharmaceuticals, Inc.",Nabumetone,3
327,Jaloo,"Kareway Product, Inc.",Multi Sympton Cold Day Night,8
328,Blogpad,"Productos Urologos de Mexico, S.A. de C.V.",Scrub Care,62
329,Eabox,CARDINAL HEALTH,Allergy,75
330,Ntags,"Energique, Inc.",Terrestristat,56
331,Wordware,"Fenwal, Inc.",ADSOL Red Cell Preservation Solution System in Plastic Container (PL 146 Plastic),64
332,Skibox,"Roberts Oxygen Company, Inc.",Air,97
333,Brainlounge,"Physicians Total Care, Inc.",Chlorhexidine Gluconate,87
334,Quimba,Topco Associates LLC,Anticavity Fluoride Rinse,91
335,Agimba,Apotheca Company,Headache,78
336,Voonix,L Perrigo Company,good sense anti nausea,30
337,Quire,"Chattem, Inc.",Benzodent,58
338,Tagcat,Aurolife Pharma LLC,Atenolol,90
339,Flashdog,"Antigen Laboratories, Inc.",Poplar Mixture,16
340,Ailane,"WG Critical Care, LLC",Ampicillin and Sulbactam,85
341,Topicshots,Health and Natural Beauty USA Corp,SprinJene,85
342,Buzzshare,Energizer Personal Care LLC,HAWAIIAN Tropic,57
343,Yambee,McKesson Packaging Services Business Unit of McKesson Corporation,Lidocaine Hydrochloride,24
344,Skiba,Contract Pharmacy Services-PA,benztropine mesylate,27
345,Meejo,"ABC Compounding Co., Inc.",Handy Quat,3
346,Brainbox,Apotheca Company,Arnica Plus,45
347,Mudo,Unit Dose Services,Oxycodone and Acetaminophen,19
348,Fivechat,"International Labs, Inc.",Pravastatin Sodium,84
349,Katz,"Zhejiang Huahai Pharmaceutical Co., Ltd.",Ropinirole Hydrochloride,12
350,Kaymbo,RedPharm Drug Inc.,Lisinopril,93
351,Layo,REMEDYREPACK INC.,Isosorbide,22
352,Babbleblab,"Actavis Pharma, Inc.",Kadian,33
353,Buzzdog,"AMI Cosmetic Co.,Ltd.",Vitalizer White,61
354,Dynabox,Cardinal Health,Omeprazole,2
355,Kamba,"Mycone Dental Supply Co., Inc DBA Keystone Industries and Deepak Products Inc",Gelato Topical Anesthetic,74
356,Katz,Solco Healthcare US LLC,Levetiracetam,70
357,Cogidoo,"Allermed Laboratories, Inc.",Shad Scale Pollen,38
358,Youfeed,Apotheca Company,Candida,51
359,Izio,Feelgood Health,Anal Itch Ease,29
360,Blogspan,"Acella Pharmaceuticals, LLC",BPO,27
361,Jetpulse,Sandoz Inc,Lamotrigine,44
362,Topicstorm,Clinical Solutions Wholesale,Warfarin Sodium,60
363,Jaxnation,DOLGENCORP INC.,DG BODY,89
364,Riffpath,"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",Cold and Flu HBP,25
365,Yodel,American Health Packaging,Hydrocodone Bitartrate And Acetaminophen,46
366,Mydeo,Kingbio,Sciatici Freee,12
367,Flipstorm,"TROY MANUFACTURING, INC",STOPAIN COLD PAIN RELIEVING,26
368,Realbuzz,Major Pharmaceuticals,Amitriptyline Hydrochloride,19
369,Agimba,"Taro Pharmaceuticals U.S.A., Inc.",Hydrocortisone,31
370,Pixonyx,Novo Nordisk,NovoLog Mix 70/30,91
371,Mita,"Golden State Medical Supply, Inc.",Estazolam,48
372,Dynabox,CARDINAL HEALTH,LEADER ANTIFUNGAL TOLNAFTATE,4
373,Wikizz,"Nelco Laboratories, Inc.",Mustard Seed,52
374,Devbug,Dr. Reddy's Laboratories Limited,Zonisamide,31
375,Zoombox,COSTCO WHOLESALE CORPORATION,Suphedrine PE,46
376,Twinder,HANBANGMEIN COSMETICS,EGF Premium Whitening Milk,94
377,Quimm,Walgreen Company,Walgreens Anti-Sagging and Ultra Hydrating Day Cream Broad Spectrum SPF15 Sunscreen,99
378,Gabtune,American Sales Company,care one nasal,11
379,Tazz,Bradley Fixtures Corporation,KleerSight,27
380,Kazio,Uriel Pharmacy Inc.,Secale Nicotiana,42
381,Topicshots,Mylan Institutional Inc.,Galantamine,13
382,Browsetype,ProBLEN,DNA RNA,65
383,Realpoint,"Electrolyzed Innovations, LLC",Soothix Antiseptic Hand Sanitizing,98
384,Zoovu,Onset Dermatologics LLC,Locoid,5
385,Yambee,IASO Inc,IASO progressive age care emulsion,7
386,Skyba,"Life Line Home Care Services, Inc.",Hydrochlorothiazide,58
387,Thoughtsphere,Hyland's,KALI SULPH,98
